folder_name,file_name,model,mean_input_tokens,mean_output_tokens,concurrent_requests,results_ttft_s_mean,results_inter_token_latency_s_mean,results_end_to_end_latency_s_mean
llmperf,qwen3_4000_1000_8_1766064904651_summary.json,qwen3,4000,1000,8,0.370357452,9.660233001,10.0405118
llmperf,qwen3_4000_1000_8_1766067059881_summary.json,qwen3,4000,1000,8,0.325619048,9.712487465,10.04806964
llmperf,qwen3_4000_1000_8_1766063818769_summary.json,qwen3,4000,1000,8,0.540932885,9.66145678,10.21231326
llmperf,qwen3_4000_1000_8_1766065979328_summary.json,qwen3,4000,1000,8,0.335426068,9.673043291,10.01841937
llmperf,qwen3_4000_1000_8_1766069209374_summary.json,qwen3,4000,1000,8,0.290435648,9.654627998,9.954996914
llmperf,qwen3_8000_1000_8_1766070319333_summary.json,qwen3,8000,1000,8,0.5725578,10.36276306,10.94666366
llmperf,qwen3_8000_1000_8_1766071411172_summary.json,qwen3,8000,1000,8,0.617038202,10.38608731,11.0137788
llmperf,qwen3_8000_1000_8_1766067096929_summary.json,qwen3,8000,1000,8,0.96357962,10.316898,11.2871754
llmperf,qwen3_8000_1000_8_1766061685895_summary.json,qwen3,8000,1000,8,1.24862059,10.90533794,12.16095902
llmperf,qwen3_8000_1000_8_1766068173866_summary.json,qwen3,8000,1000,8,0.592925957,10.36011528,10.96368031
llmperf,qwen3_8000_1000_8_1766063855266_summary.json,qwen3,8000,1000,8,0.823017356,10.40040273,11.23407789
llmperf,qwen3_8000_1000_8_1766069246009_summary.json,qwen3,8000,1000,8,0.572301952,10.36646636,10.94940758
llmperf,qwen3_8000_1000_8_1766064941136_summary.json,qwen3,8000,1000,8,0.525302636,10.42055439,10.95265217
llmperf,qwen3_8000_1000_8_1766066015839_summary.json,qwen3,8000,1000,8,0.571977264,10.39842546,10.98104693
llmperf,qwen3_8000_1000_8_1766062766613_summary.json,qwen3,8000,1000,8,0.633355406,10.43139309,11.07547266
llmperf,qwen3_16000_1000_8_1766062817211_summary.json,qwen3,16000,1000,8,1.192050123,11.71184842,12.91588359
llmperf,qwen3_16000_1000_8_1766061737176_summary.json,qwen3,16000,1000,8,1.606713769,11.55473212,13.17326825
llmperf,qwen3_16000_1000_8_1766067146640_summary.json,qwen3,16000,1000,8,0.975162817,11.76401905,12.75121411
